run,station,date_range,err_mean,err_std,rmse,IoA,bias,crmse_norm,mod_std_norm,corr_coef,count
RUN004,cbnc3.900.F.CT,121-126,,,,1,,,,,0
RUN004,cbnc3.900.F.CT,127-129,,,,1,,,,,0
RUN004,cbnc3.900.F.CT,5-150,,,,1,,,,,0
RUN004,cbnc3.900.F.CT,71-150,,,,1,,,,,0
RUN004,lonw1.0.A.External,121-126,,,,1,,,,,0
RUN004,lonw1.0.A.External,127-129,,,,1,,,,,0
RUN004,lonw1.0.A.External,5-150,,,,1,,,,,0
RUN004,lonw1.0.A.External,71-150,,,,1,,,,,0
RUN004,saturn02.100.F.CT,121-126,,,,1,,,,,0
RUN004,saturn02.100.F.CT,127-129,,,,1,,,,,0
RUN004,saturn02.100.F.CT,5-150,,,,1,,,,,0
RUN004,saturn02.100.F.CT,71-150,,,,1,,,,,0
RUN004,saturn02.1100.F.CT,121-126,,,,1,,,,,0
RUN004,saturn02.1100.F.CT,127-129,,,,1,,,,,0
RUN004,saturn02.1100.F.CT,5-150,,,,1,,,,,0
RUN004,saturn02.1100.F.CT,71-150,,,,1,,,,,0
RUN004,saturn02.1600.F.CT,121-126,,,,1,,,,,0
RUN004,saturn02.1600.F.CT,127-129,,,,1,,,,,0
RUN004,saturn02.1600.F.CT,5-150,,,,1,,,,,0
RUN004,saturn02.1600.F.CT,71-150,,,,1,,,,,0
RUN004,saturn02.2100.F.CT,121-126,,,,1,,,,,0
RUN004,saturn02.2100.F.CT,127-129,,,,1,,,,,0
RUN004,saturn02.2100.F.CT,5-150,,,,1,,,,,0
RUN004,saturn02.2100.F.CT,71-150,,,,1,,,,,0
RUN004,saturn02.600.F.CT,121-126,,,,1,,,,,0
RUN004,saturn02.600.F.CT,127-129,,,,1,,,,,0
RUN004,saturn02.600.F.CT,5-150,,,,1,,,,,0
RUN004,saturn02.600.F.CT,71-150,,,,1,,,,,0
RUN004,saturn03.1300.R.CT,121-126,,,,1,,,,,0
RUN004,saturn03.1300.R.CT,127-129,,,,1,,,,,0
RUN004,saturn03.1300.R.CT,5-150,,,,1,,,,,0
RUN004,saturn03.1300.R.CT,71-150,,,,1,,,,,0
RUN004,saturn03.240.A.CT,121-126,,,,1,,,,,0
RUN004,saturn03.240.A.CT,127-129,,,,1,,,,,0
RUN004,saturn03.240.A.CT,5-150,,,,1,,,,,0
RUN004,saturn03.240.A.CT,71-150,,,,1,,,,,0
RUN004,saturn03.820.A.CT,121-126,,,,1,,,,,0
RUN004,saturn03.820.A.CT,127-129,,,,1,,,,,0
RUN004,saturn03.820.A.CT,5-150,,,,1,,,,,0
RUN004,saturn03.820.A.CT,71-150,,,,1,,,,,0
RUN004,saturn04.30.F.CT,121-126,,,,1,,,,,0
RUN004,saturn04.30.F.CT,127-129,,,,1,,,,,0
RUN004,saturn04.30.F.CT,5-150,,,,1,,,,,0
RUN004,saturn04.30.F.CT,71-150,,,,1,,,,,0
RUN004,saturn04.830.A.CT,121-126,,,,1,,,,,0
RUN004,saturn04.830.A.CT,127-129,,,,1,,,,,0
RUN004,saturn04.830.A.CT,5-150,,,,1,,,,,0
RUN004,saturn04.830.A.CT,71-150,,,,1,,,,,0
RUN004,saturn04.860.R.CT,121-126,,,,1,,,,,0
RUN004,saturn04.860.R.CT,127-129,,,,1,,,,,0
RUN004,saturn04.860.R.CT,5-150,,,,1,,,,,0
RUN004,saturn04.860.R.CT,71-150,,,,1,,,,,0
RUN004,skaw1.0.A.External,121-126,,,,1,,,,,0
RUN004,skaw1.0.A.External,127-129,,,,1,,,,,0
RUN004,skaw1.0.A.External,5-150,,,,1,,,,,0
RUN004,skaw1.0.A.External,71-150,,,,1,,,,,0
RUN004,tpoin.0.A.External,121-126,,,,1,,,,,0
RUN004,tpoin.0.A.External,127-129,,,,1,,,,,0
RUN004,tpoin.0.A.External,5-150,,,,1,,,,,0
RUN004,tpoin.0.A.External,71-150,,,,1,,,,,0
RUN004,vanw1.0.A.External,121-126,,,,1,,,,,0
RUN004,vanw1.0.A.External,127-129,,,,1,,,,,0
RUN004,vanw1.0.A.External,5-150,,,,1,,,,,0
RUN004,vanw1.0.A.External,71-150,,,,1,,,,,0
