run,station,date_range,err_mean,err_std,rmse,IoA,bias,crmse_norm,mod_std_norm,corr_coef,count
RUN020m,cbnc3.900.F.CT,121-126,-0.09999947580836815,1.3624239318151072e-06,0.09999947581764927,0.0,-0.09999947580836797,5774881799.19611,5774881799.19611,,145
RUN020m,cbnc3.900.F.CT,127-129,-0.0999996348777353,4.120228421215666e-07,0.0999996348785841,0.0,-0.09999963487773515,3298819410.219534,3298819410.219534,,73
RUN020m,cbnc3.900.F.CT,5-150,-0.09209531600790972,0.044928403764587045,0.10247003803761622,2.9976021664879227e-15,-0.0920953160079077,23124374365825.69,23124374365825.707,-0.00015372480919233404,1145
RUN020m,cbnc3.900.F.CT,51-53,,,,1,,,,,0
RUN020m,cbnc3.900.F.CT,5-70,,,,1,,,,,0
RUN020m,cbnc3.900.F.CT,58-60,,,,1,,,,,0
RUN020m,cbnc3.900.F.CT,71-150,-0.09209531600790972,0.044928403764587045,0.10247003803761622,2.9976021664879227e-15,-0.0920953160079077,23124374365825.69,23124374365825.707,-0.00015372480919233404,1145
RUN020m,cbnc3.900.F.CT,90-92,,,,1,,,,,0
RUN020m,lonw1.0.A.External,121-126,-0.17437698610637378,0.12279861071288917,0.21327642175486292,0.7309711040719835,-0.1743769861063722,0.5688015426636113,0.6739391897807668,0.8388433657891723,145
RUN020m,lonw1.0.A.External,127-129,-0.15667938502566386,0.13091262487228897,0.20417283130468872,0.835440012785369,-0.15667938502566514,0.45991859349177105,0.6620868014481261,0.9264901651331912,73
RUN020m,lonw1.0.A.External,5-150,-0.031212573288339304,0.20509229422613204,0.20745378734122524,0.9712065868833617,-0.031212573288335932,0.30065402804143265,0.803923542727572,0.9676916617562992,3477
RUN020m,lonw1.0.A.External,51-53,-0.003729371358878492,0.16349336380289478,0.16353589275238065,0.952916793983064,-0.0037293713588788524,0.3768577411168106,0.7588858364904313,0.9447310035573422,73
RUN020m,lonw1.0.A.External,5-70,0.05049600043139509,0.2147725945540381,0.22062890434174925,0.9521217041449922,0.05049600043139657,0.37562064908720655,0.7831910460341431,0.9399349941643592,1585
RUN020m,lonw1.0.A.External,58-60,0.14987654161797978,0.15449675997960102,0.21524921967700708,0.8370084298940575,0.14987654161798014,0.4976467251534616,0.637689409025587,0.9087460940416321,73
RUN020m,lonw1.0.A.External,71-150,-0.0995156589017936,0.168539775615459,0.1957269075297707,0.9395120765421091,-0.09951565890179515,0.3742220363271301,0.7708486565937369,0.9432237485664705,1893
RUN020m,lonw1.0.A.External,90-92,-0.4574704910554537,0.1128297682715397,0.47117916634198426,0.6140019192757319,-0.4574704910554521,0.3951973906509333,0.776291320773046,0.9316394492790757,73
RUN020m,saturn02.100.F.CT,121-126,-1.656536920263068,4.797921441489855,5.075841282674502,0.6473774143817892,-1.656536920263072,1.1955373953893615,1.23839120566362,0.44586198183588127,145
