run,station,date_range,err_mean,err_std,rmse,IoA,bias,crmse_norm,mod_std_norm,corr_coef,count
RUN020p,cbnc3.900.F.CT,121-126,-0.09995955008702063,4.404208423191142e-06,0.09995955018404519,0.0,-0.09995955008702043,18668038977.453735,18668038977.453743,,145
RUN020p,cbnc3.900.F.CT,127-129,-0.09996223673953814,6.081272729332556e-06,0.09996223692451738,0.0,-0.09996223673953801,48689097951.57777,48689097951.57777,,73
RUN020p,cbnc3.900.F.CT,5-150,-0.08938255507768562,0.06816584160107166,0.11240917717605559,4.3298697960381105e-15,-0.08938255507768346,35084541360608.13,35084541360608.13,-0.00013559167242050603,1145
RUN020p,cbnc3.900.F.CT,51-53,,,,1,,,,,0
RUN020p,cbnc3.900.F.CT,5-70,,,,1,,,,,0
RUN020p,cbnc3.900.F.CT,58-60,,,,1,,,,,0
RUN020p,cbnc3.900.F.CT,71-150,-0.08938255507768562,0.06816584160107166,0.11240917717605559,4.3298697960381105e-15,-0.08938255507768346,35084541360608.13,35084541360608.13,-0.00013559167242050603,1145
RUN020p,cbnc3.900.F.CT,90-92,,,,1,,,,,0
RUN020p,lonw1.0.A.External,121-126,-0.6012938801236308,0.09567957577699832,0.6088586958359038,0.4260278465891033,-0.6012938801236287,0.4431865310805525,0.92636891158863,0.8969132265983336,145
RUN020p,lonw1.0.A.External,127-129,-0.5674895231735261,0.09397140390474373,0.575217336024867,0.5465611248108497,-0.5674895231735269,0.33013772319116724,0.8820084916769078,0.946106573159664,73
RUN020p,lonw1.0.A.External,5-150,-0.3431532344169514,0.2186186507905243,0.4068762179880807,0.8934469964377473,-0.34315323441694834,0.3204829231306123,0.747845669466798,0.9738398581357086,3477
RUN020p,lonw1.0.A.External,51-53,-0.1769581418348063,0.11833219936556989,0.21287717906887155,0.9355324721369325,-0.17695814183480651,0.2727597274716002,0.9003772823263803,0.9641965738589501,73
RUN020p,lonw1.0.A.External,5-70,-0.18806848865051756,0.18023792525879562,0.26049081773622096,0.9373506014977651,-0.18806848865051684,0.31522218473179614,0.8006547056701413,0.9627639237280684,1585
