run,station,date_range,err_mean,err_std,rmse,IoA,bias,crmse_norm,mod_std_norm,corr_coef,count
RUN007a,cbnc3.900.F.CT,121-126,-0.09990236451306098,0.0005194042126617917,0.0999037147259131,0.0,-0.09990236451306068,2201589288092.5283,2201589288092.5283,,144
RUN007a,cbnc3.900.F.CT,127-129,-0.09998396221047873,4.782688722074801e-05,0.09998397364936835,0.0,-0.09998396221047863,382921158161.15625,382921158161.15625,,72
RUN007a,cbnc3.900.F.CT,5-150,-0.09092134492149574,0.0547331985588036,0.10612452113819416,3.774758283725532e-15,-0.09092134492149379,28170842221429.152,28170842221429.168,-0.0001449152522932074,1145
RUN007a,cbnc3.900.F.CT,51-53,,,,1,,,,,0
RUN007a,cbnc3.900.F.CT,5-70,,,,1,,,,,0
RUN007a,cbnc3.900.F.CT,58-60,,,,1,,,,,0
RUN007a,cbnc3.900.F.CT,71-150,-0.09092134492149574,0.0547331985588036,0.10612452113819416,3.774758283725532e-15,-0.09092134492149379,28170842221429.152,28170842221429.168,-0.0001449152522932074,1145
RUN007a,cbnc3.900.F.CT,90-92,,,,1,,,,,0
RUN007a,lonw1.0.A.External,121-126,-0.4013324170269829,0.08039606958345098,0.40930579883650225,0.5605692005640709,-0.40133241702698097,0.3711916072406063,0.9115133691256819,0.9287156229167397,144
RUN007a,lonw1.0.A.External,127-129,-0.37577271346277397,0.09215705555377968,0.3869083290283611,0.682803873532307,-0.3757727134627751,0.32188726220640906,0.8809578837520804,0.9492368558250371,72
RUN007a,lonw1.0.A.External,5-150,-0.24838829344508384,0.22316249575259628,0.333913527475436,0.9254479790557948,-0.2483882934450765,0.3271127212090741,0.7560101595968424,0.9686038014474817,3476
RUN007a,lonw1.0.A.External,51-53,-0.04527133359987766,0.15194610846100207,0.1585468811498795,0.9623460861284945,-0.04527133359987823,0.34864732007503235,0.8990423351991013,0.93806604018887,72
RUN007a,lonw1.0.A.External,5-70,-0.11800953674704408,0.23050903083131882,0.2589607384489894,0.9310920877705879,-0.1180095367470424,0.4030192291071285,0.7336595568753544,0.9376500540823629,1584
RUN007a,lonw1.0.A.External,58-60,-0.06453421766632955,0.1036850436060809,0.12212802101647309,0.9535286378204316,-0.0645342176663295,0.3354777511074617,0.8398007366073394,0.9482725403126244,72
RUN007a,lonw1.0.A.External,71-150,-0.35754260137832633,0.14444752399932045,0.38561872230211447,0.8179911929385597,-0.35754260137833116,0.32153498251021234,0.8177790463541007,0.9570909346827204,1892
RUN007a,lonw1.0.A.External,90-92,-0.6605626538967716,0.1050834096966713,0.6688688531518151,0.49315613183178597,-0.660562653896771,0.3758638535493234,0.7424397398559015,0.9495337164912565,72
RUN007a,saturn02.100.F.CT,121-126,3.189321421975985,5.376454328811737,6.251242459101503,0.5290674902983188,3.1893214219759862,1.3437398887047376,1.150890402091008,0.22543928952148243,144
RUN007a,saturn02.100.F.CT,127-129,5.047381433054911,6.014586507597532,7.851834829396358,0.4267117760968837,5.047381433054895,1.2325350694081678,0.7790773041851204,0.05636074116368421,72
RUN007a,saturn02.100.F.CT,5-150,1.3969297812196217,5.875024206972908,6.038817951070879,0.5152538924913748,1.3969297812195514,1.236679459519781,0.9668972317180239,0.20969869278935951,860
RUN007a,saturn02.100.F.CT,51-53,,,,1,,,,,0
RUN007a,saturn02.100.F.CT,5-70,,,,1,,,,,0
RUN007a,saturn02.100.F.CT,58-60,,,,1,,,,,0
RUN007a,saturn02.100.F.CT,71-150,1.3969297812196217,5.875024206972908,6.038817951070879,0.5152538924913748,1.3969297812195514,1.236679459519781,0.9668972317180239,0.20969869278935951,860
RUN007a,saturn02.100.F.CT,90-92,,,,1,,,,,0
RUN007a,saturn02.1100.F.CT,121-126,0.778867950111553,0.3055004473708516,0.8366395920913391,0.366719122042103,0.7788679501115574,0.9613326324449686,0.07858085387095877,0.521847984282504,144
