run,station,date_range,err_mean,err_std,rmse,IoA,bias,crmse_norm,mod_std_norm,corr_coef,count
RUN020l,cbnc3.900.F.CT,121-126,-0.09996468832123184,6.2349943266361094e-06,0.09996468851567625,0.0,-0.09996468832123159,26428158236.32635,26428158236.326347,,145
RUN020l,cbnc3.900.F.CT,127-129,-0.0999649688244257,5.889950819655362e-06,0.09996496899794408,0.0,-0.09996496882442556,47157298340.67758,47157298340.67758,,73
RUN020l,cbnc3.900.F.CT,5-150,-0.09969498884785948,0.002255275400645171,0.09972049472654852,0.0,-0.09969498884785759,1160776441910.0715,1160776441910.072,-0.00010376465262846346,1145
RUN020l,cbnc3.900.F.CT,51-53,,,,1,,,,,0
RUN020l,cbnc3.900.F.CT,5-70,,,,1,,,,,0
RUN020l,cbnc3.900.F.CT,58-60,,,,1,,,,,0
RUN020l,cbnc3.900.F.CT,71-150,-0.09969498884785948,0.002255275400645171,0.09972049472654852,0.0,-0.09969498884785759,1160776441910.0715,1160776441910.072,-0.00010376465262846346,1145
RUN020l,cbnc3.900.F.CT,90-92,,,,1,,,,,0
RUN020l,lonw1.0.A.External,121-126,0.0868030364072035,0.14479962075025518,0.16882445705207527,0.7597275916407132,0.08680303640720455,0.6707099305253469,0.559123614933811,0.7715354733974806,145
RUN020l,lonw1.0.A.External,127-129,0.10158981919884753,0.16236807357241376,0.19153037012565732,0.8182013864678703,0.1015898191988458,0.5704270012020822,0.5502959659435099,0.8881027182867247,73
RUN020l,lonw1.0.A.External,5-150,0.15856060353166443,0.22649216113007353,0.27647814388428016,0.9519104264298384,0.15856060353166646,0.3320250564289085,0.8499068262215984,0.9483986511370378,3477
RUN020l,lonw1.0.A.External,51-53,0.10098915300979672,0.20824697202901202,0.23144245588242504,0.8979216490975671,0.1009891530097966,0.48001632389118165,0.6807073529027713,0.9056364852209859,73
RUN020l,lonw1.0.A.External,5-70,0.1963757988050353,0.25361741566219803,0.32075730371027894,0.9025369391285506,0.1963757988050323,0.44355723545019454,0.7874092900035538,0.9037678288360418,1585
RUN020l,lonw1.0.A.External,58-60,0.32043487837036166,0.18202325788779644,0.3685254098272136,0.6624203427859996,0.32043487837036233,0.5863118307567486,0.5513339948189832,0.8708039228317388,73
RUN020l,lonw1.0.A.External,71-150,0.12701152551468184,0.19544622810263726,0.23309044530635487,0.9154082272144861,0.12701152551468153,0.433964535706413,0.7842821270517661,0.9096045844659335,1893
RUN020l,lonw1.0.A.External,90-92,-0.24742048833712812,0.11979084839849552,0.27489406215670475,0.7771496452140181,-0.24742048833712849,0.419579260297819,0.7674017895545395,0.9205469482678558,73
RUN020l,saturn02.100.F.CT,121-126,-7.338339393110471,5.5521638925197845,9.202051344014407,0.4472481949415945,-7.3383393931104735,1.383478166490525,1.2671588407973708,0.2729254093431994,145
RUN020l,saturn02.100.F.CT,127-129,-1.655128361983406,5.155589484340335,5.414753256214219,0.6132763302016367,-1.6551283619834152,1.0616919986325035,0.8460880170189687,0.34788049277479194,73
RUN020l,saturn02.100.F.CT,5-150,-3.490871072746316,5.7265103049472605,6.706646040995764,0.5283778493525071,-3.490871072746355,1.2054176152076732,1.0253114776813075,0.2917318357563618,860
RUN020l,saturn02.100.F.CT,51-53,,,,1,,,,,0
RUN020l,saturn02.100.F.CT,5-70,,,,1,,,,,0
RUN020l,saturn02.100.F.CT,58-60,,,,1,,,,,0
RUN020l,saturn02.100.F.CT,71-150,-3.490871072746316,5.7265103049472605,6.706646040995764,0.5283778493525071,-3.490871072746355,1.2054176152076732,1.0253114776813075,0.2917318357563618,860
RUN020l,saturn02.100.F.CT,90-92,,,,1,,,,,0
RUN020l,saturn02.1100.F.CT,121-126,0.4318690838554695,0.3273008338378933,0.541882590070158,0.41732312266075156,0.4318690838554353,1.0273616806876136,0.07569545058287606,-0.32856810629505423,145
RUN020l,saturn02.1100.F.CT,127-129,0.09404251037285602,0.573566756176862,0.5812252726340077,0.2607772554707347,0.09404251037285505,1.0332792036862284,0.3062845546226502,0.042679781326484985,73
RUN020l,saturn02.1100.F.CT,5-150,0.4363107585847688,3.5407231143251785,3.5675043448289463,0.09835945589736828,0.4363107585847743,1.0112973612813814,0.1324968124510955,-0.01949838463808607,859
RUN020l,saturn02.1100.F.CT,51-53,,,,1,,,,,0
RUN020l,saturn02.1100.F.CT,5-70,,,,1,,,,,0
RUN020l,saturn02.1100.F.CT,58-60,,,,1,,,,,0
RUN020l,saturn02.1100.F.CT,71-150,0.4363107585847688,3.5407231143251785,3.5675043448289463,0.09835945589736828,0.4363107585847743,1.0112973612813814,0.1324968124510955,-0.01949838463808607,859
RUN020l,saturn02.1100.F.CT,90-92,,,,1,,,,,0
RUN020l,saturn02.1600.F.CT,121-126,0.10660177978860193,0.34234696491466265,0.35856015372651046,0.29999914549525974,0.10660177978858343,1.0181022756495228,0.0726194194670955,-0.21522248338244201,145
RUN020l,saturn02.1600.F.CT,127-129,-0.4195809004133122,0.2716669460664572,0.4998510393874572,0.39909891297888955,-0.41958090041330465,1.001390338523371,0.11237516285933716,0.04380668685675241,73
RUN020l,saturn02.1600.F.CT,5-150,0.1309899861626438,3.453017041768865,3.455500697036692,0.03625060630984078,0.13098998616271018,0.9970284245542315,0.05694332021929824,0.08057891876661999,859
RUN020l,saturn02.1600.F.CT,51-53,,,,1,,,,,0
RUN020l,saturn02.1600.F.CT,5-70,,,,1,,,,,0
RUN020l,saturn02.1600.F.CT,58-60,,,,1,,,,,0
RUN020l,saturn02.1600.F.CT,71-150,0.1309899861626438,3.453017041768865,3.455500697036692,0.03625060630984078,0.13098998616271018,0.9970284245542315,0.05694332021929824,0.08057891876661999,859
RUN020l,saturn02.1600.F.CT,90-92,,,,1,,,,,0
RUN020l,saturn02.2100.F.CT,121-126,-0.22596994002165047,0.28346710799806035,0.36251346886725794,0.45647671239228527,-0.22596994002163484,0.963800891867188,0.06983082896462774,0.5439158222536572,145
RUN020l,saturn02.2100.F.CT,127-129,-0.6881790562979211,0.15513109714714193,0.7054474259852204,0.27518967031198416,-0.6881790562979297,0.9517594398960838,0.12611450378455327,0.4363448823520544,73
RUN020l,saturn02.2100.F.CT,5-150,-0.01646720217434666,3.4317812853478133,3.431820793574591,0.06830543534135447,-0.01646720217430797,0.9869420333210345,0.07785096797149407,0.20556068159590668,858
RUN020l,saturn02.2100.F.CT,51-53,,,,1,,,,,0
RUN020l,saturn02.2100.F.CT,5-70,,,,1,,,,,0
RUN020l,saturn02.2100.F.CT,58-60,,,,1,,,,,0
RUN020l,saturn02.2100.F.CT,71-150,-0.01646720217434666,3.4317812853478133,3.431820793574591,0.06830543534135447,-0.01646720217430797,0.9869420333210345,0.07785096797149407,0.20556068159590668,858
RUN020l,saturn02.2100.F.CT,90-92,,,,1,,,,,0
RUN020l,saturn02.600.F.CT,121-126,0.2349206910909135,1.1415221215755442,1.165444329493676,0.5318877054426675,0.23492069109090608,2.0922161305163693,2.3122072748285096,0.42576938633735306,145
RUN020l,saturn02.600.F.CT,127-129,1.0259250188668825,1.5920434043446583,1.8939705239666065,0.519288932649279,1.0259250188668894,0.9825221360073402,0.6309751634109781,0.34294528072826685,73
RUN020l,saturn02.600.F.CT,5-150,0.5033219625592832,3.839346229718351,3.8721973696658334,0.26870934726900686,0.5033219625592906,1.0339229488279509,0.3424327815964664,0.07047156170884128,859
RUN020l,saturn02.600.F.CT,51-53,,,,1,,,,,0
RUN020l,saturn02.600.F.CT,5-70,,,,1,,,,,0
RUN020l,saturn02.600.F.CT,58-60,,,,1,,,,,0
RUN020l,saturn02.600.F.CT,71-150,0.5033219625592832,3.839346229718351,3.8721973696658334,0.26870934726900686,0.5033219625592906,1.0339229488279509,0.3424327815964664,0.07047156170884128,859
RUN020l,saturn02.600.F.CT,90-92,,,,1,,,,,0
RUN020l,saturn03.1300.R.CT,121-126,7.628488357254577,5.907408873084045,9.648384020682466,0.7291183400947601,7.628488357254577,0.5779420707832347,0.5260146663086797,0.8960533349819486,99
RUN020l,saturn03.1300.R.CT,127-129,7.314466007552566,5.467781058684908,9.132252880935537,0.789793015309549,7.314466007552564,0.5528774435922884,0.790680248211854,0.8344092256403935,21
RUN020l,saturn03.1300.R.CT,5-150,7.025066546531533,5.823741473359304,9.12510409429512,0.7170751991451436,7.025066546531491,0.6061420821530903,0.5240383987539068,0.8655930765463898,1184
RUN020l,saturn03.1300.R.CT,51-53,10.709138904318472,3.4708841222737026,11.257561577101816,0.700352013895385,10.709138904318472,0.39514884620728047,0.6733565427575872,0.9632834469112225,8
RUN020l,saturn03.1300.R.CT,5-70,4.047446604375643,4.216337373999706,5.8445979217272646,0.7432666346160626,4.047446604375622,0.60814353815325,0.5455400763334386,0.8503274572639067,305
RUN020l,saturn03.1300.R.CT,58-60,,,,1,,,,,0
RUN020l,saturn03.1300.R.CT,71-150,8.058256628849561,5.947423299306242,10.01535540046025,0.7037607271984255,8.058256628849549,0.6057128883233246,0.5335250551769396,0.860091641915677,879
RUN020l,saturn03.1300.R.CT,90-92,,,,1,,,,,0
RUN020l,saturn03.240.A.CT,121-126,-1.2724039243403498,2.7403023501389154,3.0213024868181577,0.5658285945978112,-1.2724039243403504,0.808831210646183,0.300663929502909,0.7253794492573803,118
RUN020l,saturn03.240.A.CT,127-129,-1.8685652798342725,3.0250182808864023,3.5555972500691158,0.6623679618569385,-1.868565279834272,0.7069485235690081,0.3386310628243175,0.9079125473674213,22
RUN020l,saturn03.240.A.CT,5-150,-2.109942432482373,3.3714722726828334,3.977270716692388,0.8731914494207945,-2.1099424324823657,0.5150752259158592,0.7009907544916942,0.8745376038658498,2675
RUN020l,saturn03.240.A.CT,51-53,-0.5318160874091965,2.411722506687134,2.469662689536468,0.9684274007682973,-0.5318160874091973,0.3213024896564398,0.8719379368446226,0.9502055168318202,47
RUN020l,saturn03.240.A.CT,5-70,-2.7172975473345584,3.5754095681451568,4.4907972054785885,0.8728118058618527,-2.717297547334571,0.4962166914330616,0.7283659941229135,0.8816213462054899,1312
RUN020l,saturn03.240.A.CT,58-60,-2.1072685879850304,3.590756604791351,4.1634257405123885,0.79290565145573,-2.107268587985028,0.6811697571064654,0.7378893025592823,0.7321480207718124,68
RUN020l,saturn03.240.A.CT,71-150,-1.5280112891491255,3.0514049582149103,3.4126076127773195,0.8214136020990435,-1.5280112891491253,0.6097457391286818,0.6335741405649994,0.8125539374830772,1364
RUN020l,saturn03.240.A.CT,90-92,-0.4226898106694603,1.4768320077863346,1.536131327480174,0.6419730289732342,-0.42268981066946054,0.8358835163094853,0.5177877868442662,0.5498419949584785,73
RUN020l,saturn03.820.A.CT,121-126,4.643627222362033,4.67021107745572,6.585905047011522,0.734586785435214,4.6436272223620305,0.9201156759302862,1.3826310141780405,0.7467848048750749,139
RUN020l,saturn03.820.A.CT,127-129,3.335300598249157,3.036807014522433,4.510701378292941,0.8945205252191982,3.335300598249159,0.5025819387322021,1.2431821720543967,0.9221952177712455,27
RUN020l,saturn03.820.A.CT,5-150,6.775546459765656,4.880015118253143,8.350004633700625,0.7865035457483014,6.775546459765609,0.6185296025916569,1.0813362902774668,0.8261580229266043,2597
RUN020l,saturn03.820.A.CT,51-53,7.148188099429741,3.770557829010819,8.08168914563928,0.8049097211782374,7.1481880994297455,0.478679373548279,1.0787617739720732,0.896672958293424,64
RUN020l,saturn03.820.A.CT,5-70,7.04757108745533,4.976044899031153,8.62724064054725,0.7736217160052701,7.0475710874552995,0.6099132121305516,0.989732797301109,0.8121267114244135,1386
RUN020l,saturn03.820.A.CT,58-60,9.790565992788496,4.724162419264053,10.870735624728136,0.6320773186742222,9.790565992788508,0.6738230573083769,0.8872307447839839,0.75129321755758,73
RUN020l,saturn03.820.A.CT,71-150,6.464211914779796,4.748650179177149,8.020954694011197,0.7678897492454886,6.464211914779801,0.6959403570081275,1.2061842054949563,0.816851749548605,1211
RUN020l,saturn03.820.A.CT,90-92,19.846534368401663,1.5376691787883967,19.90601298451159,0.00012284121139638504,19.846534368401663,1156.697653971532,1155.6976539715322,-0.9999999999999999,2
