run,station,date_range,err_mean,err_std,rmse,IoA,bias,crmse_norm,mod_std_norm,corr_coef,count
RUN020n,cbnc3.900.F.CT,121-126,-0.09999804817025872,5.0656030527272395e-06,0.09999804829856293,0.0,-0.09999804817025851,21471480490.044407,21471480490.04441,,145
RUN020n,cbnc3.900.F.CT,127-129,-0.09999956355322613,4.183387443242876e-07,0.09999956355410113,0.0,-0.09999956355322598,3349387045.430524,3349387045.4305243,,73
RUN020n,cbnc3.900.F.CT,5-150,-0.08111642929926142,0.09187087079062434,0.1225566481350142,6.439293542825908e-15,-0.08111642929925951,47285374762219.21,47285374762219.195,-0.00017959206419015128,1145
RUN020n,cbnc3.900.F.CT,51-53,,,,1,,,,,0
RUN020n,cbnc3.900.F.CT,5-70,,,,1,,,,,0
RUN020n,cbnc3.900.F.CT,58-60,,,,1,,,,,0
RUN020n,cbnc3.900.F.CT,71-150,-0.08111642929926142,0.09187087079062434,0.1225566481350142,6.439293542825908e-15,-0.08111642929925951,47285374762219.21,47285374762219.195,-0.00017959206419015128,1145
RUN020n,cbnc3.900.F.CT,90-92,,,,1,,,,,0
RUN020n,lonw1.0.A.External,121-126,-0.36413496537638423,0.10421754121358381,0.37875528894824095,0.5640552239426437,-0.3641349653763828,0.4827342741970689,0.7842035510668701,0.8811123260926665,145
RUN020n,lonw1.0.A.External,127-129,-0.33794308159481573,0.10655454933910977,0.3543436162578087,0.6901328304545487,-0.3379430815948168,0.37434447983913544,0.758103206888335,0.946168456796709,73
RUN020n,lonw1.0.A.External,5-150,-0.16755642080818858,0.202772289410743,0.2630432578625141,0.9532778322860651,-0.16755642080818678,0.2972530285282421,0.7732180765937681,0.9761197239800278,3477
RUN020n,lonw1.0.A.External,51-53,-0.07628749499389664,0.1334127360265883,0.15368389644508607,0.9617712691524214,-0.07628749499389675,0.3075208752558751,0.818268743723608,0.9623944824469968,73
RUN020n,lonw1.0.A.External,5-70,-0.051759149681012924,0.19231052761948866,0.19915408258177286,0.9613349009240884,-0.05175914968101458,0.3363362321004157,0.7851955157319447,0.9573475056722655,1585
RUN020n,lonw1.0.A.External,58-60,0.031217300675160185,0.13361874037686705,0.1372169364231105,0.9316616295962478,0.031217300675160597,0.4303969130256074,0.7097882124284928,0.9288388991760695,73
RUN020n,lonw1.0.A.External,71-150,-0.2644021759198595,0.15483077107525772,0.30640019305299937,0.8684527613242635,-0.26440217591986004,0.34378286209471,0.7690443985062404,0.9578397771736981,1893
RUN020n,lonw1.0.A.External,90-92,-0.6149909582027396,0.11487032886471803,0.625626942454217,0.5220689853438217,-0.6149909582027395,0.4023446553687729,0.7829089682190613,0.9267138899397588,73
RUN020n,saturn02.100.F.CT,121-126,-0.3834951060873209,4.369435175324617,4.386232124244794,0.6763570494775581,-0.38349510608732373,1.0887679618214305,1.0543034824973605,0.4392189601439492,145
RUN020n,saturn02.100.F.CT,127-129,0.6317417671938573,4.294743738418644,4.340958585278529,0.720086789944552,0.6317417671938514,0.8844177910413168,0.7456263980183634,0.518868362472046,73
RUN020n,saturn02.100.F.CT,5-150,-0.5501864759487601,4.762076085787004,4.79375362374219,0.6352734396899415,-0.5501864759487596,1.0024063684662714,0.8071814228735257,0.40060592548580093,860
RUN020n,saturn02.100.F.CT,51-53,,,,1,,,,,0
RUN020n,saturn02.100.F.CT,5-70,,,,1,,,,,0
RUN020n,saturn02.100.F.CT,58-60,,,,1,,,,,0
RUN020n,saturn02.100.F.CT,71-150,-0.5501864759487601,4.762076085787004,4.79375362374219,0.6352734396899415,-0.5501864759487596,1.0024063684662714,0.8071814228735257,0.40060592548580093,860
RUN020n,saturn02.100.F.CT,90-92,,,,1,,,,,0
RUN020n,saturn02.1100.F.CT,121-126,0.5402563342910429,0.29170647537385863,0.61397848049963,0.43814952230898707,0.5402563342910192,0.915634865006112,0.19317618197356912,0.5148922326623657,145
RUN020n,saturn02.1100.F.CT,127-129,0.29779094200577333,0.553199884683361,0.6282591484048361,0.36072846495175226,0.29779094200577205,0.9965883311212654,0.10030289399685909,0.08410708876258727,73
RUN020n,saturn02.1100.F.CT,5-150,0.5779452391260158,3.5107767145759956,3.5580294882192107,0.12153524764218004,0.5779452391260378,1.0027441042012941,0.12025192824699962,0.037275026967754296,859
